name,symbol,weight
CMS Energy Corporation,CMS,0.00059266
WestRock Co.,WRK,0.00059246
McCormick & Company Incorporated,MKC,0.00058895
Stericycle Inc.,SRCL,0.00058507
Coca-Cola Enterprises Inc.,CCE,0.00058484
Quest Diagnostics Incorporated,DGX,0.00057517
Brown-Forman Corporation Class B,BFb,0.00057479
Devon Energy Corporation,DVN,0.00057377
Kohls Corporation,KSS,0.00057247
Ball Corporation,BLL,0.00056712
CarMax Inc.,KMX,0.00056556
Seagate Technology PLC,STX,0.00056251
Campbell Soup Company,CPB,0.00056065
Hess Corporation,HES,0.00056034
Linear Technology Corporation,LLTC,0.00055966
International Flavors & Fragrances Inc.,IFF,0.00055957
Alcoa Inc.,AA,0.00055873
Snap-on Incorporated,SNA,0.00055812
Williams Companies Inc.,WMB,0.00055751
Eastman Chemical Company,EMN,0.00055639
Newmont Mining Corporation,NEM,0.00055342
L-3 Communications Holdings Inc.,LLL,0.00055133
Juniper Networks Inc.,JNPR,0.00054526
Airgas Inc.,ARG,0.00054091
Best Buy Co. Inc.,BBY,0.00054002
D.R. Horton Inc.,DHI,0.00053706
Interpublic Group of Companies Inc.,IPG,0.00053477
C.H. Robinson Worldwide Inc.,CHRW,0.00053395
Coach Inc.,COH,0.00052825
Xerox Corporation,XRX,0.00052724
Mattel Inc.,MAT,0.00052571
Dover Corporation,DOV,0.00052029
Western Union Company,WU,0.00051722
SCANA Corporation,SCG,0.00051203
Masco Corporation,MAS,0.00050739
CBRE Group Inc. Class A,CBG,0.00050668
Microchip Technology Incorporated,MCHP,0.00050641
CA Inc.,CA,0.00050137
Martin Marietta Materials Inc.,MLM,0.00049534
Pentair plc,PNR,0.00049095
Mosaic Company,MOS,0.00048978
Akamai Technologies Inc.,AKAM,0.00048927
TripAdvisor Inc.,TRIP,0.00048866
Sealed Air Corporation,SEE,0.00048599
Expeditors International of Washington Inc.,EXPD,0.00048458
Harley-Davidson Inc.,HOG,0.00048429
Cincinnati Financial Corporation,CINF,0.00047995
Wyndham Worldwide Corporation,WYN,0.00047771
Huntington Bancshares Incorporated,HBAN,0.00047343
DENTSPLY International Inc.,XRAY,0.00046671
Hasbro Inc.,HAS,0.00046608
EQT Corporation,EQT,0.00046131
BorgWarner Inc.,BWA,0.00046047
AGL Resources Inc.,GAS,0.00046032
Bed Bath & Beyond Inc.,BBBY,0.00045984
Total System Services Inc.,TSS,0.00045673
VeriSign Inc.,VRSN,0.00045564
